Unnamed: 0,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,0.7597,0.8159,0.9004,0.8726,0.8946,0.8771,0.8695,0.986,1.1091,1.1407,1.4317,1.496,1.4288,1.2806,1.2648,1.2818,1.284,1.3623,1.473,1.3691,1.3496,1.2769,1.3473,1.5923,1.5497,1.7265,1.9354,1.8413,1.5415,1.3592,1.3128,1.3279,1.1952,1.2129,1.28,1.0902,0.9692,0.966,1.0367,1.1094,1.3309,1.3453,1.3049,1.3387,1.4387,1.4535
Austria,17.4211,17.9391,16.524,14.5303,13.3689,12.9403,15.9235,17.059,17.968,20.0067,20.6851,15.2681,12.6434,12.3447,13.2305,11.3692,11.67,10.9908,11.6328,11.4194,10.0829,10.5788,12.1972,12.3758,12.9149,14.9312,15.3652,1.0611,0.8851,0.8049,0.8046,0.7967,0.7305,0.6933,0.7181,0.755,0.7192,0.778,0.7532,0.7537,0.9015,0.9043,0.8871,0.8473,0.8933,0.8775
Belgium,36.7877,38.6101,35.8427,31.5001,29.313,29.2526,37.1375,45.698,51.1302,57.7621,59.4282,44.6853,37.344,36.7719,39.3997,33.4221,34.1616,32.1462,34.5488,33.4606,29.4972,30.9755,35.7584,36.2976,37.8615,43.7727,45.0448,1.0611,0.8851,0.8049,0.8046,0.7967,0.7305,0.6933,0.7181,0.755,0.7192,0.778,0.7532,0.7537,0.9015,0.9043,0.8871,0.8473,0.8933,0.8775
Canada,1.017,0.9859,1.0634,1.1407,1.1711,1.1694,1.1989,1.2334,1.2324,1.2951,1.3659,1.3894,1.3262,1.2312,1.1841,1.1671,1.1461,1.2089,1.2902,1.3659,1.3725,1.3638,1.385,1.4835,1.4855,1.4851,1.5484,1.57,1.4001,1.3011,1.2117,1.1343,1.0743,1.0753,1.141,1.0302,0.9891,0.9992,1.0302,1.1047,1.2783,1.3254,1.2981,1.2961,1.327,1.3412
Czech Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.4745,28.2641,29.1541,28.7853,26.5401,27.1489,31.7046,32.2807,34.5884,38.6366,38.0197,32.7328,28.1288,25.6946,23.9545,22.585,20.2888,17.347,18.9895,19.0795,17.6722,19.5383,19.5585,20.7578,24.5926,24.4406,23.3855,21.7298,22.9311,23.2125
Denmark,5.7413,6.0442,6.0011,5.5111,5.2605,5.6358,7.12,8.3332,9.1448,10.3552,10.5945,8.0891,6.8384,6.7302,7.3101,6.1864,6.3928,6.0384,6.4822,6.3602,5.6037,5.7982,6.6041,6.6962,6.9799,8.088,8.3208,7.8843,6.5766,5.9876,5.9961,5.943,5.4426,5.1675,5.3465,5.6218,5.3604,5.7899,5.6169,5.6187,6.7254,6.7308,6.6018,6.3135,6.6692,6.542
Finland,3.6691,3.8557,4.0206,4.1066,3.8872,3.7197,4.3044,4.8128,5.5648,6.0032,6.1963,5.0704,4.3964,4.1862,4.2881,3.8225,4.0432,4.4858,5.7208,5.2229,4.3671,4.5923,5.1872,5.3453,5.5804,6.4517,6.6392,1.0611,0.8851,0.8049,0.8046,0.7967,0.7305,0.6933,0.7181,0.755,0.7192,0.778,0.7532,0.7537,0.9015,0.9043,0.8871,0.8473,0.8933,0.8775
France,4.2872,4.7803,4.9135,4.5118,4.2546,4.2261,5.4344,6.5721,7.6213,8.7394,8.9842,6.9269,6.0087,5.957,6.3802,5.4459,5.6409,5.2937,5.6623,5.5521,4.9908,5.1158,5.8373,5.8994,6.1566,7.1178,7.3246,1.0611,0.8851,0.8049,0.8046,0.7967,0.7305,0.6933,0.7181,0.755,0.7192,0.778,0.7532,0.7537,0.9015,0.9043,0.8871,0.8473,0.8933,0.8775
Germany,2.4603,2.5185,2.3222,2.0086,1.8328,1.8172,2.2593,2.4267,2.5534,2.8464,2.9438,2.1719,1.7974,1.7561,1.88,1.6159,1.6588,1.562,1.6533,1.6229,1.433,1.5047,1.7341,1.7594,1.8357,2.1223,2.1839,1.0611,0.8851,0.8049,0.8046,0.7967,0.7305,0.6933,0.7181,0.755,0.7192,0.778,0.7532,0.7537,0.9015,0.9043,0.8871,0.8473,0.8933,0.8775
Greece,32.0191,36.5214,36.8326,36.733,37.0498,42.6393,55.3395,66.6523,87.9023,112.6593,138.055,139.4757,135.1801,141.6561,162.0834,158.2264,182.0642,190.4682,229.0699,242.2425,231.5782,240.659,272.9467,295.2708,305.6926,365.4544,380.492,1.0611,0.8851,0.8049,0.8046,0.7967,0.7305,0.6933,0.7181,0.755,0.7192,0.778,0.7532,0.7537,0.9015,0.9043,0.8871,0.8473,0.8933,0.8775
Hungary,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.7693,78.9894,91.9093,105.121,125.7203,152.609,186.6286,214.2611,237.0632,282.2862,286.4914,257.4493,224.2972,202.6094,199.5268,210.402,183.59,175.587,201.419,207.764,200.9068,224.823,223.5404,232.6191,279.1926,281.521,274.4764,270.2212,290.6026,307.9913
Iceland,1.5333,1.8192,1.9879,2.7078,3.5334,4.7847,7.2056,12.296,24.8525,31.7258,41.5366,41.1018,38.6765,43.0485,57.1095,58.3777,59.0957,57.6194,67.6421,69.9897,64.766,66.6914,70.9693,71.174,72.4296,78.8445,97.6708,91.5855,76.6893,70.1921,62.8752,69.8988,64.0749,90.9436,123.352,122.242,116.058,125.118,122.1541,116.688,131.8961,120.8136,106.8234,108.2693,122.6365,135.3821
Ireland,0.4518,0.5567,0.5733,0.5214,0.4886,0.4867,0.6217,0.7043,0.8047,0.9228,0.9457,0.7466,0.6725,0.6569,0.7057,0.6047,0.6216,0.5877,0.6833,0.6697,0.6245,0.6254,0.6604,0.703,0.7392,0.8546,0.8794,1.0611,0.8851,0.8049,0.8046,0.7967,0.7305,0.6933,0.7181,0.755,0.7192,0.778,0.7532,0.7537,0.9015,0.9043,0.8871,0.8473,0.8933,0.8775
Italy,0.6527,0.8321,0.8824,0.8487,0.8309,0.8564,1.1365,1.3527,1.5189,1.7567,1.9094,1.491,1.297,1.3017,1.3717,1.1984,1.2406,1.232,1.5717,1.6127,1.629,1.543,1.703,1.7364,1.8173,2.101,2.1621,1.0611,0.8851,0.8049,0.8046,0.7967,0.7305,0.6933,0.7181,0.755,0.7192,0.778,0.7532,0.7537,0.9015,0.9043,0.8871,0.8473,0.8933,0.8775
Japan,296.8,296.5,268.5,210.4,219.20000000000002,226.70000000000002,220.6,249.1,237.5,237.6,238.6,168.5,144.6,128.1,138,144.8,134.5,126.7,111.19999999999999,102.2,94.10000000000001,108.8,121.0,130.89999999999998,113.9,107.80000000000001,121.5,125.2,115.9,108.10000000000001,110.10000000000001,116.4,117.8,103.5,93.39999999999999,87.7606,79.7068,79.8136,97.591,105.8475,121.00229999999999,108.8027,112.1831,110.4378,109.0459,106.7624
Korea,..,..,..,..,..,..,..,..,..,..,870.9,881,825,730,669.2,708,733.2,780,802.4,804.3,771.4,804.4,950.5,1400.5,1186.7,1130.6,1290.4,1251.0,1190.7,1145.2,1024.2,951.8,929.45,1110.1,1273.91,1155.4313,1107.3024,1125.93,1094.638,1053.064,1131.309,1160.5894,1130.635,1100.1859,1165.2938,1180.1278
Luxembourg,36.7877,38.6101,35.8427,31.5001,29.313,29.2526,37.1375,45.698,51.1302,57.7621,59.4282,44.6853,37.344,36.7719,39.3997,33.4221,34.1616,32.1462,34.5488,33.4606,29.4972,30.9755,35.7584,36.2976,37.8615,43.7727,45.0448,1.0611,0.8851,0.8049,0.8046,0.7967,0.7305,0.6933,0.7181,0.755,0.7192,0.778,0.7532,0.7537,0.9015,0.9043,0.8871,0.8473,0.8933,0.8775
Netherlands,2.53,2.6445,2.4548,2.1639,2.006,1.9877,2.4955,2.6704,2.8538,3.2088,3.3224,2.4497,2.0258,1.9768,2.121,1.8208,1.8697,1.7585,1.8572,1.8197,1.6053,1.6861,1.9509,1.9845,2.0683,2.3912,2.4607,1.0611,0.8851,0.8049,0.8046,0.7967,0.7305,0.6933,0.7181,0.755,0.7192,0.778,0.7532,0.7537,0.9015,0.9043,0.8871,0.8473,0.8933,0.8775
New Zealand,0.8259,0.9985,1.0253,0.9609,0.9783,1.0272,1.1534,1.3325,1.4963,1.767,2.0256,1.9166,1.6951,1.5292,1.6741,1.6779,1.7292,1.86,1.8507,1.6871,1.524,1.4536,1.5125,1.8685,1.8917,2.2047,2.3817,2.1633,1.724,1.509,1.4208,1.5416,1.3609,1.4455,1.5988,1.3876,1.2664,1.2349,1.2203,1.2058,1.4342,1.4365,1.4074,1.4456,1.518,1.5412
Norway,5.2233,5.4568,5.3216,5.2415,5.0629,4.9369,5.7319,6.451,7.2959,8.1604,8.5938,7.3918,6.7367,6.5171,6.9033,6.2583,6.4839,6.2145,7.0944,7.0565,6.3372,6.4574,7.0723,7.5452,7.7969,8.7967,8.993,7.9856,7.0791,6.7393,6.4414,6.4148,5.8584,5.7073,6.2784,6.0445,5.6046,5.8149,5.878,6.3019,8.0643,8.4002,8.271,8.1348,8.7986,9.4132
Poland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.8135,2.2728,2.425,2.6955,3.2769,3.492,3.9644,4.3457,4.0972,4.0816,3.8884,3.6509,3.234,3.1035,2.7652,2.4442,3.1092,3.0145,2.9621,3.2518,3.1596,3.1543,3.7702,3.9441,3.7793,3.6114,3.8395,3.8994
Portugal,25.4758,30.1453,38.2331,43.9247,48.8981,49.9936,61.53,79.391,110.7853,146.3769,169.9271,148.1739,140.7937,143.9461,157.0996,142.312,144.3538,134.7941,160.6549,166.0356,149.9347,154.2134,175.1604,180.1491,188.165,217.5422,223.8644,1.0611,0.8851,0.8049,0.8046,0.7967,0.7305,0.6933,0.7181,0.755,0.7192,0.778,0.7532,0.7537,0.9015,0.9043,0.8871,0.8473,0.8933,0.8775
Slovenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.765,190.963,175.054,163.91,172.495,180.939,0.7192,0.778,0.7532,0.7537,0.9015,0.9043,0.8871,0.8473,0.8933,0.8775
Slovak Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.7699,32.0445,29.7393,30.6538,33.6162,35.2335,41.3627,46.2304,48.3106,1.5036939999999999,1.220072,1.069857,1.030339,0.984289,0.819203,0.719392,0.7181,0.755,0.7192,0.778,0.7532,0.7537,0.9015,0.9043,0.8871,0.8473,0.8933,0.8775
Spain,57.4009,66.9317,76.0117,76.6973,67.151,71.7217,92.2623,109.8013,143.5228,160.8017,170.0569,139.9668,123.5188,116.4757,118.3978,101.9426,103.9325,102.3992,127.2428,133.9605,124.6856,126.6909,146.41,149.379,156.1637,180.5448,185.7918,1.0611,0.8851,0.8049,0.8046,0.7967,0.7305,0.6933,0.7181,0.755,0.7192,0.778,0.7532,0.7537,0.9015,0.9043,0.8871,0.8473,0.8933,0.8775
Sweden,4.1506,4.3566,4.4807,4.5168,4.2867,4.2292,5.0598,6.2822,7.6672,8.2731,8.6022,7.1236,6.3403,6.1288,6.4462,5.9184,6.0455,5.823,7.7854,7.7157,7.1336,6.7071,7.6346,7.9471,8.2623,9.1606,10.3384,9.721,8.0781,7.346,7.4724,7.3733,6.7575,6.6797,7.6322,7.2022,6.4892,6.7689,6.5132,6.8599,8.4293,8.5565,8.547,8.6904,9.4559,9.2097
Switzerland,2.5819,2.4996,2.4036,1.7883,1.6632,1.6761,1.9663,2.0297,2.0994,2.3497,2.4574,1.7984,1.4907,1.4631,1.6355,1.3889,1.4337,1.4058,1.4774,1.3671,1.1821,1.2361,1.45,1.4497,1.5027,1.6879,1.6869,1.5568,1.345,1.2427,1.2459,1.2532,1.1998,1.0966,1.0839,1.0427,0.8872,0.9375,0.9268,0.915,0.9623,0.9851,0.9847,0.9779,0.9938,0.939
United Kingdom,0.4518,0.5567,0.5733,0.5214,0.4721,0.4302,0.4977,0.5726,0.6598,0.7516,0.7793,0.6822,0.6116,0.5622,0.6114,0.563,0.5669,0.5697,0.666,0.6533,0.6336,0.6408,0.6105,0.6036,0.6181,0.6606,0.6943,0.6665,0.6124,0.5457,0.5501,0.5434,0.4997,0.5527,0.6402,0.6475,0.6238,0.6311,0.6396,0.6074,0.6545,0.741,0.7766,0.7497,0.7836,0.7797
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU/EURO (1),0.7537,0.8944,0.8763,0.7849,0.7296,0.7182,0.8957,1.0207,1.1233,1.2674,1.3105,1.0161,0.8662,0.8457,0.9076,0.7877,0.809,0.7726,0.8537,0.8402,0.7652,0.7878,0.8824,0.8941,0.9385,1.0851,1.1166,1.0611,0.8851,0.8049,0.8046,0.7967,0.7305,0.6933,0.7181,0.755,0.7192,0.778,0.7532,0.7537,0.9015,0.9043,0.8871,0.8473,0.8933,0.8775
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1) ECU until 1998. EURO from 1999.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.oecd.org/dac/financing-sustainable-development/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
